paper_id,raw_conclusion,summary
71592,"The social network model provides a conceptual framework to analyze the COVID-19 pandemic on the level of individuals, that can be used to predict the influence of collective social behavior on overall pandemic trajectories. It shows the importance of social distancing, and the message that to contain the epidemic, every member of the public plays a crucial part in breaking the chain of transmission. Given the current understanding of COVID-19 viral epidemiology, the epidemic in the U.S. can be controlled by limiting the average number of contacts per person to 7 unique individuals over each 5 day period. For an average American family, the 7 contacts might be a spouse, two children, a friend, a neighbor, a colleague, and a cashier during grocery shopping. The time from the beginning of collective social action to the inflection point of the epidemic is about 3 viral generation intervals, totaling 2-3 weeks. Once daily new cases are decreasing, social distancing measures can be gradually relaxed, in phases, to prevent rebound of viral transmission. After social distancing becomes widely implemented and most people stay at home, the majority of new cases is expected to be from household transmission. One way to further reduce the epidemic is to bring all patients with confirmed COVID-19 to medical facilities to prevent the spread of infection at home, as was the practice in China, where moderate to severe cases were hospitalized while mild cases were kept in isolation centers until they were no longer infectious on viral nucleic acid testing. This is also the standard of care for other communicable diseases such as tuberculosis, where clinically stable patients are discharged home after three negative induced sputum samples. Finally, the social network model of COVID-19 transmission is expandable and extendable. This paper provides a simplified version using population averages for parameters. Researchers who have access to patient-level data can substitute these average values by their respective probability distributions to simulate stochastic viral transmission. . CC-BY-ND 4.0    ()  . . 23.20041798   ","The social network model provides a conceptual framework to analyze the COVID-19 pandemic on the level of individuals, that can be used to predict the influence of collective social behavior on overall pandemic trajectories.<q>It shows the importance of social distancing, and the message that to contain the epidemic, every member of the public plays a crucial part in breaking the chain of transmission.<q>S. can be controlled by limiting the average number of contacts per person to 7 unique individuals over each 5 day period. For an average American family, the 7 contacts might be a spouse, two children, a friend, a neighbor, a colleague, and a cashier during grocery shopping.
"
71601,"Understanding the impact of mobility on the early stages of spreading of a epidemic is key to design efficient public health responses. In this work, we address the question of how relevant is multi-seeding for the epidemic indicators in a population. The relation between a larger inflow of seeds and the epidemic size, heights of the incidence and mortality peaks is easy to hypothesize from a theoretical perspective. Is it, however, a reality? To test it, we perform a simple correlation analysis in the context of the present COVID-19 pandemic in Spain. The first local outbreak was declared in Madrid, attaining 100 a b FIG. 6. Statistical models. Comparison plots for the height of the a incidence and b mortality peaks. The x-axis display the predictions of the corresponding statistical model and the y-axis the actual values in every province. The explained variance in Pearson coefficients is of R 2 P = 0.76 and R 2 P = 0.77, respectively. confirmed cases on March 6, 2020. From then on, cases were detected in all the 52 provinces and autonomous cities of the country. The confinement measures were taken in an uniform way across the country with a first lockdown on Friday March 14, 2020, a more strict lockdown on March 29. The incidence peaks for most of the provinces occurred after the first lockdown and before the second. The fact that the lockdowns are uniform allows us to perform the analysis on multi-seeding in equal conditions. We find a clear relation between the mobility from/to Madrid and the heights of the peaks of incidence and mortality. Furthermore, the kind of mobility that better correlates is the one exhibited by weekenders one week before the local onset and, typically, before the confinement measures. This supports the policies intended to target non-essential trips first and, only later, commuting flows (weekday travelers). It is not surprising that a larger mobility to and from the area with the first outbreak accelerates the local onsets. But if the flow of trips per capita are high and frequent, the probability of importing more cases increases. Multi-seeds impact in different zones of the local social/contact network. The protection that bottlenecks . CC-BY-NC-ND 4.0    ()  .   in such contact network structure could bring is, thus, deactivated, which leads in turn to an enhancement of the contagions and a larger epidemic size with respect to a single or few seeds scenario. More cases imply larger mortality. These are theoretical arguments of the effect of multi-seeding. The main contribution of our work is to offer empirical evidence of such connections between multi-seeding and the severity of the epidemic at the population level. We hope that this study will highlight the importance of mobility in an epidemic situation, which goes beyond a first direct relation between arrival times and inflow of trips, and help stakeholders and decisionmakers to design more efficient responses. ","Understanding the impact of mobility on the early stages of spreading of a epidemic is key to design efficient public health responses.<q>The first local outbreak was declared in Madrid, attaining 100 a b FIG.<q>In this work, we address the question of how relevant is multi-seeding for the epidemic indicators in a population.
"
71637,"This is the first study to demonstrate the effects of transportation restriction measures together with the improvement of diagnostic capacity on the transmission dynamics in Wuhan. We found that the proportion of the documented infections increased as the availability of test kits and the accuracy of diagnostic progressed by time. Our initial estimated proportion of documented infections was consistent with a recent study 16 . However, the estimated proportion increased up to around 73% after February 12. Also, our results showed that transportation restrictions in Wuhan successfully contained disease growth. These findings may provide some suggestions for further analyses. Unlike most studies with the proportion of documented infections being fixed over time, our estimated proportion was close to the prediction in the study of Ruiyun et al. (14%) 16 at the initial stage, but increased to around 70% by progress. Diagnostic capability strongly influenced the proportion of documented infections. During the early outbreak in Wuhan, a large proportion of cases were not able to be confirmed as the test kits were insufficient 16 . On January 26, the State Food and Drug Administration (SFDA) approved four new coronavirus detection kits from four companies 17 to increase the supply of detection kits, and our estimated proportion of documented infections increased to 37% after then. On February 12, the diagnostic criteria were enhanced by including clinically diagnosed cases 18 . The undocumented infections may be of mild illness and insufficiently serious about seeking treatment 16 . We found the estimated undocumented proportion of infections was less than 30% after February 12. This finding suggested that the proportion of mild symptomatic cases were likely to be around or less than 30%. Our estimation of R t during the curve up period aligns with other recent studies 24 (3.11 by Jonathan et al. 6 , 3.15 by Tian et al. 8 , 1.4 to 3.9 by Li et al. 1 ). Furthermore, our results showed both transportation restriction and quarantine measures were able to limit virus transmission. Transportation restrictions, including halting all forms of public transportation, trains, and air travel, sharply reduced social contacts and virus transmission rates. Concurrent with the implementation of transportation measures, personal awareness of the virus and protective behavior (e.g., wearing facemasks, washing hands frequently, social distancing) also increased. Although our study did not exclude the effects caused by changes in public response coming along with the transportation measures, we found R e dropped by 87% after the introduction of transportation restriction. These findings are in agreement with the results of Kucharski et al. 7 and Ruiyun et al. 16 . Besides, quarantine of the symptomatic infections was also essential in curbing the epidemic 25 . Under the actual condition in Wuhan (with quarantine), the estimated time from symptom to quarantine was around 5.65 days at the initial stage, possibly due to a lack of sufficient resources during this period. Our estimated incubation time was consistent with other recent studies 1 8 19 26 . Given the estimated incubation period as 5.57 days but the latent period as 2.92 days, there can be a lot of transmissions that occurred during the asymptomatic infectious period. How to reduce possible contact during the asymptomatic infectious period is one of the major tasks to contain the virus spread. Our results were in agreement with the advocation from the government that people who had close contact with confirmed cases need to be quarantined for at least 14 days 27 . Overall, our studies suggested an improved capability with intensive transportation control and quarantine measures, can be able to contain COVID outbreak in a city. . CC-BY-ND 4.0   author/funder, who has granted medRxiv a license to display the preprint in perpetuity. is the (which was not peer-reviewed)    . CC-BY-ND 4.0   author/funder, who has granted medRxiv a license to display the preprint in perpetuity. is the (which was not peer-reviewed)    Figure S1 . Prediction of the number of newly symptomatic infectious (A), newly exposed individuals (B), newly quarantined cases(C), newly recovered cases (D) in Wuhan. ","This is the first study to demonstrate the effects of transportation restriction measures together with the improvement of diagnostic capacity on the transmission dynamics in Wuhan.<q>We found that the proportion of the documented infections increased as the availability of test kits and the accuracy of diagnostic progressed by time.<q>Our initial estimated proportion of documented infections was consistent with a recent study 16 .
"
71642,"Summary Background With confirmed cases of COVID-19 declining in many countries, lockdown measures are gradually being lifted. However, even if most social distancing measures are continued, other public health measures will be needed to control the epidemic. Contact tracing either via conventional methods or via mobile app technology is central to control strategies during de-escalation of social distancing. It is therefore essential to identify key factors for a contact tracing strategy (CTS) to be successful. Methods We evaluated the impact of timeliness and completeness in various steps of a CTS using a stochastic mathematical model with explicit time delays between time of infection, symptom onset, diagnosis by testing, and isolation. The model also includes tracing of close contacts (e.g. household members) and casual contacts with different delays and coverages. We computed effective reproduction numbers of a CTS (Rcts) for a population with social distancing measures and various scenarios for isolation of index cases and tracing and quarantine of its contacts. Findings In the best-case scenario (testing and tracing delays of 0 days and tracing coverage of 100%) the effective reproduction number will be reduced with 50% from 1.2 (with social distancing only) to 0.6 (Rcts) by contact tracing. A testing delay of 3 days requires tracing delay or coverage to be at most 1 day or at least 80% to keep Rcts below 1, with the Rcts reduction being 15% and 17%, respectively. With a testing delay of 4 days, even the most efficient CTS cannot reach Rcts values below 1. The effect of minimizing tracing delay (e.g., with app-based technology) declines with declining coverage of app use, but app-based tracing remains more effective than conventional contact tracing even with 20% coverage. The proportion of transmissions per index case that can be prevented depending on testing and tracing delay and isolation of index cases ranges from above 80% in the best-case scenario (testing and tracing delays of 0 days) to 40% and 17% with testing delays of 3 and 5 days, respectively. Interpretation Minimizing testing delay is of key importance for the effectiveness of CTS. Optimizing testing and tracing coverage and minimizing tracing delays, for instance with app-based technology further enhances effectiveness of CTS, with a potential to prevent up to 80% of all transmissions. The process of conventional contact tracing should be reviewed and streamlined, while mobile app technology may offer a tool for gaining speed in the process.","Summary Background With confirmed cases of COVID-19 declining in many countries, lockdown measures are gradually being lifted.<q>However, even if most social distancing measures are continued, other public health measures will be needed to control the epidemic.<q>Findings In the best-case scenario (testing and tracing delays of 0 days and tracing coverage of 100%) the effective reproduction number will be reduced with 50% from 1.
"
71698,"We introduce a deterministic model that partitions the total population into the susceptible, infected, quarantined, and those traced after exposure, recovered and the deceased. We introduce the concept of 'accessible population for transmission of the disease', which can be a small fraction of the total population, for instance when interventions are in force. This assumption, together with the structure of the set of coupled nonlinear ordinary differential equations for the populations, allows us to decouple the equations into just two equations. This further reduces to a logistic type of equation for the total infected population. The equation can be solved analytically and therefore allows for a clear interpretation of the growth and inhibiting factors in terms of the parameters in the full model. The validity of the 'accessible population' assumption and the efficacy of the reduced logistic model is demonstrated by the ease of fitting the United Kingdom data for the total number of infected cases. The model can also be used to forecast further progression of the disease. The approach further helps us to analyze the original model equations. We show that the original model equations provide a very good fit with the United Kingdom data for the cumulative number of infections. The active infected population of the model is seen to exhibit a turning point around mid-May, suggesting the beginning of a slow-down in the spread of infections. However, the rate of slowing down beyond the turning point is small and therefore the cumulative number of infections is likely to saturate to about 3.8 x 105 only towards the end of July or beginning of August, provided the lock-down conditions continue to prevail. Noting that the fits obtained from the reduced logistic equation and the full model equations are equally good, the underlying causes for the limited forecasting ability of the reduced logistic equation is elucidated. The model and the procedure adopted here are expected to be useful in fitting the data for other countries and forecasting the progression of the disease.","We introduce a deterministic model that partitions the total population into the susceptible, infected, quarantined, and those traced after exposure, recovered and the deceased.<q>We introduce the concept of 'accessible population for transmission of the disease', which can be a small fraction of the total population, for instance when interventions are in force.<q>The equation can be solved analytically and therefore allows for a clear interpretation of the growth and inhibiting factors in terms of the parameters in the full model.
"
71756,"The Chan_RdRp_gene_R) has a CoV2ID score of 91.43%, but was designed to target all SARS-related coronaviruses 14 , which explains its high conservation. In general, available SARS-CoV-2 oligonucleotides diverge from other human coronaviruses by several positions, and therefore are unlikely to cause false-positives. ","The Chan_RdRp_gene_R) has a CoV2ID score of 91.<q>In general, available SARS-CoV-2 oligonucleotides diverge from other human coronaviruses by several positions, and therefore are unlikely to cause false-positives.<q>43%, but was designed to target all SARS-related coronaviruses 14 , which explains its high conservation.
"
71764,"We conducted a systematic review and meta-analysis to provide an overview of the 227 epidemiological characteristics of COVID-19. Our findings suggested that the COVID-19 has an 228 incubation time of more than five days (5.84 days) and a lag of less than five days (4.82 days) 229 from onset of symptoms to first clinical visit. On average, the symptoms lasted more than 230 twenty days (17.76 days) before recovery was achieved and the mortality risk among 231 confirmed cases was 2%, which significantly increased by age. Similar to previous studies (21), 232 fever, dry cough, shortness of breath, and fatigue were common symptoms among the 233 patients in the included studies. As expected, history of direct or indirect exposure to Wuhan 234 was frequent and the most common radiologic findings were bilateral consolidation and 235 pneumonia (22, 23). 236 We found that the average incubation period of COVID-19 infection to be less than 6 days 237 which is broadly consistent with previously reported estimates (24-27). The right tail of the 238 incubation period for COVID-19 even for 99% CI was less than seven days (6.85). This finding 239 is of particular interest as uncertainties continue to exist about the incubation period of 240 COVID-19. For example, while both WHO and United States' CDC suggest an incubation period 241 of 2-14 days, single outlier cases as long as 19 (15), 24 (28) or 27 days (29) have been reported; 242 estimates that are most likely reflecting a double exposure. Our meta-analytic findings are of 243 particular importance for quarantine-related policies and planning and suggest that the 244 current 14-day quarantine period might be rather conservative. Indeed, we found that except 245 . CC-BY-NC-ND 4.0    ","We conducted a systematic review and meta-analysis to provide an overview of the 227 epidemiological characteristics of COVID-19.<q>Our findings suggested that the COVID-19 has an 228 incubation time of more than five days (5.<q>76 days) before recovery was achieved and the mortality risk among 231 confirmed cases was 2%, which significantly increased by age. Similar to previous studies (21), 232 fever, dry cough, shortness of breath, and fatigue were common symptoms among the 233 patients in the included studies.
"
71776,Throughout human history epidemics have been a disrupter of human civilizations and caused staggering amounts of mortality and illness for both humans and animals [30] . 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65 . CC-BY-NC 4.0    ,"Throughout human history epidemics have been a disrupter of human civilizations and caused staggering amounts of mortality and illness for both humans and animals [30] .<q>1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65 . CC-BY-NC 4.
"
71802,"Although contact rates between symptomatic infectious and susceptible people are likely to influence the proportion of pre-symptomatic transmission, our study highlights substantial potential for pre-symptomatic transmission of COVID-19 in a range of different contexts. Our work suggests that transmission of SARS-CoV-2 is most likely in the day before symptom onset, whereas estimates suggesting most pre-symptomatic transmission highlighted a mean transmission times almost 3 days before symptom onset. These findings highlight the urgent need for extremely rapid and effective case detection, contact tracing and quarantine measures if strict social distancing measures are to be eased. ","Although contact rates between symptomatic infectious and susceptible people are likely to influence the proportion of pre-symptomatic transmission, our study highlights substantial potential for pre-symptomatic transmission of COVID-19 in a range of different contexts.<q>Our work suggests that transmission of SARS-CoV-2 is most likely in the day before symptom onset, whereas estimates suggesting most pre-symptomatic transmission highlighted a mean transmission times almost 3 days before symptom onset.<q>These findings highlight the urgent need for extremely rapid and effective case detection, contact tracing and quarantine measures if strict social distancing measures are to be eased.
"
71819,"  ()   . In QSEIR model, the parameters are dynamically changing for each day. Parameters estimation is the most important part in the kind of SEIR model (Cao et al., 2020b) . The paper illustrated the method to generate the parameter estimations. Given data limitation, we estimated a constant value to each of them with 20% errors in simulation tests, which was the best result in 50000 times stochastic simulation within their statistical ranges. We applied these values in prediction and obtained better results than existed researches. With the improvement of data quality and more data, variable parameters can be estimated and the forecasting accuracy of the model could be enhanced. The vaccine research and development cycle are relatively long, from researching products to large-scale production and promotion, it takes about 6-18 months. It seems that the COVID-19   ()    ","()   . In QSEIR model, the parameters are dynamically changing for each day.<q>Parameters estimation is the most important part in the kind of SEIR model (Cao et al.<q>The vaccine research and development cycle are relatively long, from researching products to large-scale production and promotion, it takes about 6-18 months.
"
71821,"This is the first study to assess the transmission potential of the COVID-19 outbreak that unfolded aboard the Diamond Princess Ship, January-February 2020. The overall mean reproduction number in the confined setting reached values as high as ~11, which is higher than mean estimates reported from community-level transmission dynamics in China and Singapore in the range 1.1-7 [10] [11] [12] [13] [14] [15] [16] . However, following the implementation of the quarantine period, the overall R t decreased substantially compared to values estimated during the early stage, but it exhibited fluctuations around the epidemic threshold, which likely prolonged the outbreak. . CC-BY-NC-ND 4.0   author/funder, who has granted medRxiv a license to display the preprint in perpetuity. As for the crude asymptomatic ratios by age groups, they show significant differences across age groups. However, these crude ratios are severely influenced by the timing of specimen collection relative to the infection time [19] . Hence, these ratios could be better ascertained if additional data with the timing of specimen collection becomes available. . CC-BY-NC-ND 4.0   author/funder, who has granted medRxiv a license to display the preprint in perpetuity. . CC-BY-NC-ND 4.0   author/funder, who has granted medRxiv a license to display the preprint in perpetuity. is the (which was not peer-reviewed)    The overall effective reproduction number were calculated from the dominant eigenvalue of next-generation matrix. Light and dark indicates 95% and 50% credible intervals for posterior estimates, respectively. Day 1 on horizontal axis corresponds to January 20, 2020. Horizontal grey dashed line shows the reproduction number at 1.0 for reference, below which incidence declines. Vertical dashed line indicates the day when quarantine was implemented (February 5, 2020). Proportion of asymptomatic cases among all the cases. CI: Confidence Interval (CI) is based on binomial distribution * Symptom status is based on the information at the time of specimen collection. There is a possibility that a fraction of asymptomatic cases develop symptom. . CC-BY-NC-ND 4.0   author/funder, who has granted medRxiv a license to display the preprint in perpetuity. is the (which was not peer-reviewed)    Total transmission includes within-type and inter-type transmission . CC-BY-NC-ND 4.0   author/funder, who has granted medRxiv a license to display the preprint in perpetuity. is the (which was not peer-reviewed)    ","This is the first study to assess the transmission potential of the COVID-19 outbreak that unfolded aboard the Diamond Princess Ship, January-February 2020.<q>The overall mean reproduction number in the confined setting reached values as high as ~11, which is higher than mean estimates reported from community-level transmission dynamics in China and Singapore in the range 1.<q>. CC-BY-NC-ND 4.
"
71832,"Timely diagnosis and triaging of PUIs are crucial for the control of emerging infectious diseases such as the current COVID-19. Due to the limitation of nucleic acid -based laboratory testing, there is an urgent need to look for fast alternative methods that can be used by front-line health care personal for quickly and accurately diagnosing the disease. In the present study, we have developed an AI program by analyzing representative CT images using a deep learning method. This is a retrospective, multicohort, diagnostic study. We constructed an Inception migration neuro network that achieved 82.9% accuracy. Moreover, the high performance of the deep learning model we developed in this study was tested using external samples with 73% accuracy. These findings have demonstrated the proof of principle that deep learning can extract CT image features of COVID-19 for diagnostic purposes. Further developing this system can significantly shorten the diagnosis time for disease control. In addition, it can reduce the diagnostic workload of physicians in the field. Our study represents the first study to apply artificial intelligence technologies to CT images for effectively screening for COVID-19. The gold standard for COVID-19 diagnosis has been nucleic acid based detection for the existence of specific sequences of the SARS-COV-2 gene. While we still value the importance of nucleic acid detection in the diagnosis of the viral infection, we must also note that the significantly high number of   perpetuity. preprint ()  .   false negatives due to several factors such as methodological disadvantages, disease stages, and methods for specimen collection might delay diagnosis and disease control. Recent data have suggested that the accuracy of nucleic acid testing is only about 30-50%. Using CT imaging feature extraction, we are able to achieve above 83% accuracy, significantly outplaying nucleic acid testing. In addition, this method is non-invasive with minimal cost. Although we are satisfied with the initial results, we believe that with more CT images included in the training, we will achieve higher accuracy. Therefore, further optimizing and testing this system is warranted. To achieve this, we have generated a webpage that licensed healthcare personnel can access to upload CT images for testing. The webpage information is as following: . There are some limitations to our study. CT images present a difficult classification task due to the relatively large number of variable objects, specifically the imaged areas outside the lungs that are irrelevant to the diagnosis of pneumonia [11] . In our study, only one radiologist was involved in outlining the ROI area. In addition, the training data set is relatively small. The performance of this system is expected to increase when the training volume is increased. It should also be noted that, the features of the CT images we analyzed are from patients with severe lung lesions at later stages of disease development. A study to associate this with the progress and all pathologic stages of COVID-19 is necessary to optimize the diagnostic system.   perpetuity. preprint ()  .   In future, we intend to link hierarchical features of CT images to features of other factors such as genetic, epidemiological and clinical information for multi-omics and multi-modeling analysis for enhanced disease diagnosis. The artificial intelligence system developed in our study could significantly contribute to COVID-19 disease control by reducing the number of PUIs for timely quarantine and treatment. artificial neural networks for automated analysis of cystoscopic images: a review of the current status and future prospects. World J Urol 2020. [13] Wang P, Xiao X, Glissen Brown JR, Berzin TM, Tu M, Xiong F, et al. perpetuity. preprint ()  .   ","These findings have demonstrated the proof of principle that deep learning can extract CT image features of COVID-19 for diagnostic purposes.<q>Further developing this system can significantly shorten the diagnosis time for disease control.<q>In addition, it can reduce the diagnostic workload of physicians in the field.
"
71867,"The present outbreak as consequence by coronavirus covid19 has generated an big impact over the world. South American countries had their own limitations, challengues and pandemic has highlighted what needs to improve. Peru is a country with good start with quarantine, social distancing policies but the policies was not enough during the weeks. So, the analysis over April is performed through infoveillance using posts from different cities to analyze what population was living or worried during this month. Results presents a high concern about international context, and national situation, besides Economy and Politics are issues to solve. By constrast, Religion and Transport are not very important for peruvian citizens.","The present outbreak as consequence by coronavirus covid19 has generated an big impact over the world.<q>South American countries had their own limitations, challengues and pandemic has highlighted what needs to improve.<q>Peru is a country with good start with quarantine, social distancing policies but the policies was not enough during the weeks.
"
71884,Our primary outcomes of interest are the number or proportion of contacts identified and the number or proportion of contacts who go on to become cases who are identified. Secondary . CC-BY 4.0    ,"Our primary outcomes of interest are the number or proportion of contacts identified and the number or proportion of contacts who go on to become cases who are identified.<q>Secondary .<q>CC-BY 4.
"
71936,"The number of confirmed cases of COVID-19 in the Rio de Janeiro state, Brazil, are still growing. Based on the data, we considered a SIQR on a fully-connected population in order to study the early evolution of the disease. The initial growth of confirmed cases is exponential, as it is usual, and the parameters of such early epidemic phase were estimated, based on the data. However, as discussed in the text, the Rio de Janeiro state governement implemented isolation policies in March 17, in order to avoid the explosion of cases of COVID-19. The data after the early evolution of COVID-19 exhibits a distinct, nonexponential behavior, i.e., the growth of the number of cases becomes sub-exponential, and the SIQR model can not capture such behavior. In this case, we modified the model to consider isolation procedures in a simple way. The modified model describes well the data, and it allowed us to make a detailed analysis of the evolution of COVID-19 in Rio de Janeiro. Considering the data, we have observed that the initial exponential behavior changed to the sub-exponential one about 7 days after the implementation of social distancing policies (see Fig. 3 ). We found that the isolation policies really work, i.e., the fact of isolate people in home, to avoid social contacts, decreased the growth rate of the number of cases. For the considered parameters, we observed that the number of quarantined individuals grows, stabilizes and after it decays to zero, as it is standard in compartmental models. Based on the data, we can see that the number of such isolated individuals grows until Day 99 from the beginning (March 5, 2020) of the disesase spreading. Thus, the model predicts that the maximum number of quarantined individuals will occur about June 11, 2020. This is in line with a recent estimate [14] . That peak is associated with the isolation of about 0.041% of the Rio de Janeiro state population (about 6, 700 individuals). This number is about 500 times lower than the one predicted by the SIQR model without isolation policies, suggesting the effectiveness of the social isolation. In fact, combining quarantine of individuals tested positive (confirmed cases) with social distance, i.e., multiple interventions, appears to be effective to contain the rapid evolution of confirmed cases seen in the early evolution of the COVID-19 in Rio de Janeiro state. This is in line with a recent work [14] , where the authors analyzed the potential role of nonpharmaceutical interventions in UK and USA. They conclude that the effectiveness of any one intervention in isolation is likely to be . CC-BY-NC-ND 4.0    ","The number of confirmed cases of COVID-19 in the Rio de Janeiro state, Brazil, are still growing.<q>Based on the data, we considered a SIQR on a fully-connected population in order to study the early evolution of the disease.<q>e., the growth of the number of cases becomes sub-exponential, and the SIQR model can not capture such behavior.
"
71937,"COVID-19 epidemic is declared as the public health emergency of international concern by the World Health Organisation in the second week of March 2020. This disease originated from China in December 2019 has already caused havoc around the world, including India. The first case in India was reported on 30th January 2020, with the cases crossing 6000 on the day paper was written. Complete lockdown of the nation for 21 days and immediate isolation of infected cases are the proactive steps taken by the authorities. For a better understanding of the evolution of COVID-19 in the country, Susceptible-Infectious-Quarantined-Recovered (SIQR) model is used in this paper. It is predicted that actual infectious population is ten times the reported positive case (quarantined) in the country. Also, a single case can infect 1.5 more individuals of the population. Epidemic doubling time is estimated to be around 4.1 days. All indicators are compared with Brazil and Italy as well. SIQR model has also predicted that India will see the peak with 22,000 active cases during the last week of April followed by reduction in active cases. It may take complete July for India to get over with COVID-19.","COVID-19 epidemic is declared as the public health emergency of international concern by the World Health Organisation in the second week of March 2020.<q>This disease originated from China in December 2019 has already caused havoc around the world, including India.<q>The first case in India was reported on 30th January 2020, with the cases crossing 6000 on the day paper was written.
"
